"","gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes"
"1","LOC111099053","GO:0001731","formation of translation preinitiation complex",7,1,0.05,0.04957,"Biological Processes",0.142857142857143
"2","LOC111099053","GO:0001732","formation of cytoplasmic translation initiation complex",4,1,0.03,0.02863,"Biological Processes",0.25
"3","LOC111099603","GO:0045053","protein retention in Golgi apparatus",3,1,0.02,0.02155,"Biological Processes",0.333333333333333
"4","LOC111100708","GO:0006412","translation",636,12,4.6,0.00063,"Biological Processes",0.0188679245283019
"5","LOC111103150","GO:0002181","cytoplasmic translation",52,3,0.38,0.0318,"Biological Processes",0.0576923076923077
"6","LOC111105248","GO:0035025","positive regulation of Rho protein signal transduction",3,1,0.02,0.02155,"Biological Processes",0.333333333333333
"7","LOC111107306","GO:0000122","negative regulation of transcription by RNA polymerase II",81,5,0.59,3e-04,"Biological Processes",0.0617283950617284
"8","LOC111111579","GO:0032968","positive regulation of transcription elongation from RNA polymerase II promoter",7,2,0.05,0.00106,"Biological Processes",0.285714285714286
"9","LOC111111579","GO:0042795","snRNA transcription by RNA polymerase II",4,1,0.03,0.02863,"Biological Processes",0.25
"10","LOC111113447","GO:0007018","microtubule-based movement",204,8,1.48,0.0375,"Biological Processes",0.0392156862745098
"11","LOC111115985","GO:0000028","ribosomal small subunit assembly",13,4,0.09,1.8e-06,"Biological Processes",0.307692307692308
"12","LOC111115985","GO:0006412","translation",636,12,4.6,0.00063,"Biological Processes",0.0188679245283019
"13","LOC111115985","GO:0006412","translation",636,12,4.6,0.00063,"Biological Processes",0.0188679245283019
"14","LOC111120557","GO:0000028","ribosomal small subunit assembly",13,4,0.09,1.8e-06,"Biological Processes",0.307692307692308
"15","LOC111120557","GO:0006412","translation",636,12,4.6,0.00063,"Biological Processes",0.0188679245283019
"16","LOC111120557","GO:0006412","translation",636,12,4.6,0.00063,"Biological Processes",0.0188679245283019
"17","LOC111122264","GO:0007035","vacuolar acidification",4,1,0.03,0.02863,"Biological Processes",0.25
"18","LOC111123434","GO:0007018","microtubule-based movement",204,8,1.48,0.0375,"Biological Processes",0.0392156862745098
"19","LOC111123434","GO:0007018","microtubule-based movement",204,8,1.48,0.0375,"Biological Processes",0.0392156862745098
"20","LOC111123746","GO:0000226","microtubule cytoskeleton organization",245,7,1.77,0.04336,"Biological Processes",0.0285714285714286
"21","LOC111123746","GO:0000278","mitotic cell cycle",258,5,1.87,0.00364,"Biological Processes",0.0193798449612403
"22","LOC111124944","GO:0006183","GTP biosynthetic process",9,2,0.07,0.00181,"Biological Processes",0.222222222222222
"23","LOC111124944","GO:0006228","UTP biosynthetic process",8,2,0.06,0.00141,"Biological Processes",0.25
"24","LOC111124944","GO:0006241","CTP biosynthetic process",9,2,0.07,0.00181,"Biological Processes",0.222222222222222
"25","LOC111125059","GO:0000226","microtubule cytoskeleton organization",245,7,1.77,0.04336,"Biological Processes",0.0285714285714286
"26","LOC111125059","GO:0000278","mitotic cell cycle",258,5,1.87,0.00364,"Biological Processes",0.0193798449612403
"27","LOC111125472","GO:0000045","autophagosome assembly",43,2,0.31,0.03863,"Biological Processes",0.0465116279069767
"28","LOC111125472","GO:0016239","positive regulation of macroautophagy",16,3,0.12,0.00503,"Biological Processes",0.1875
"29","LOC111125472","GO:0032481","positive regulation of type I interferon production",13,2,0.09,0.00384,"Biological Processes",0.153846153846154
"30","LOC111125472","GO:0032481","positive regulation of type I interferon production",13,2,0.09,0.00384,"Biological Processes",0.153846153846154
"31","LOC111125472","GO:0061709","reticulophagy",19,2,0.14,0.00818,"Biological Processes",0.105263157894737
"32","LOC111125548","GO:0000028","ribosomal small subunit assembly",13,4,0.09,1.8e-06,"Biological Processes",0.307692307692308
"33","LOC111125548","GO:0006412","translation",636,12,4.6,0.00063,"Biological Processes",0.0188679245283019
"34","LOC111125548","GO:0006412","translation",636,12,4.6,0.00063,"Biological Processes",0.0188679245283019
"35","LOC111125754","GO:0042073","intraciliary transport",33,2,0.24,0.02367,"Biological Processes",0.0606060606060606
"36","LOC111125946","GO:0061077","chaperone-mediated protein folding",25,2,0.18,0.02138,"Biological Processes",0.08
"37","LOC111126109","GO:0006183","GTP biosynthetic process",9,2,0.07,0.00181,"Biological Processes",0.222222222222222
"38","LOC111126109","GO:0006228","UTP biosynthetic process",8,2,0.06,0.00141,"Biological Processes",0.25
"39","LOC111126109","GO:0006241","CTP biosynthetic process",9,2,0.07,0.00181,"Biological Processes",0.222222222222222
"40","LOC111126659","GO:0097198","histone H3-K36 trimethylation",2,1,0.01,0.01442,"Biological Processes",0.5
"41","LOC111127225","GO:0006412","translation",636,12,4.6,0.00063,"Biological Processes",0.0188679245283019
"42","LOC111127735","GO:0045292","mRNA cis splicing, via spliceosome",16,3,0.12,0.00377,"Biological Processes",0.1875
"43","LOC111127784","GO:0000122","negative regulation of transcription by RNA polymerase II",81,5,0.59,3e-04,"Biological Processes",0.0617283950617284
"44","LOC111127916","GO:0042998","positive regulation of Golgi to plasma membrane protein transport",1,1,0.01,0.00724,"Biological Processes",1
"45","LOC111128085","GO:0007018","microtubule-based movement",204,8,1.48,0.0375,"Biological Processes",0.0392156862745098
"46","LOC111128374","GO:0006366","transcription by RNA polymerase II",961,16,6.95,0.00569,"Biological Processes",0.0166493236212279
