"","gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes"
"1","LOC111099053","GO:0001731","formation of translation preinitiation complex",7,1,0.01,0.0146,"Biological Processes",0.142857142857143
"2","LOC111099053","GO:0001732","formation of cytoplasmic translation initiation complex",4,1,0.01,0.0084,"Biological Processes",0.25
"3","LOC111099603","GO:0006623","protein targeting to vacuole",21,1,0.04,0.0431,"Biological Processes",0.0476190476190476
"4","LOC111099603","GO:0045053","protein retention in Golgi apparatus",3,1,0.01,0.0063,"Biological Processes",0.333333333333333
"5","LOC111105812","GO:0006038","cell wall chitin biosynthetic process",23,1,0.05,0.0472,"Biological Processes",0.0434782608695652
"6","LOC111111579","GO:0032968","positive regulation of transcription elongation from RNA polymerase II promoter",7,1,0.01,0.0146,"Biological Processes",0.142857142857143
"7","LOC111111579","GO:0042795","snRNA transcription by RNA polymerase II",4,1,0.01,0.0084,"Biological Processes",0.25
"8","LOC111124944","GO:0006183","GTP biosynthetic process",9,1,0.02,0.0187,"Biological Processes",0.111111111111111
"9","LOC111124944","GO:0006228","UTP biosynthetic process",8,1,0.02,0.0167,"Biological Processes",0.125
"10","LOC111124944","GO:0006241","CTP biosynthetic process",9,1,0.02,0.0187,"Biological Processes",0.111111111111111
"11","LOC111125548","GO:0000028","ribosomal small subunit assembly",13,1,0.03,0.0269,"Biological Processes",0.0769230769230769
"12","LOC111125828","GO:0036158","outer dynein arm assembly",13,1,0.03,0.0269,"Biological Processes",0.0769230769230769
"13","LOC111126659","GO:0097198","histone H3-K36 trimethylation",2,1,0,0.0042,"Biological Processes",0.5
"14","LOC111127289","GO:0051085","chaperone cofactor-dependent protein refolding",22,1,0.05,0.0451,"Biological Processes",0.0454545454545455
"15","LOC111128116","GO:0000470","maturation of LSU-rRNA",23,1,0.05,0.0472,"Biological Processes",0.0434782608695652
"16","LOC111128838","GO:0007259","JAK-STAT cascade",10,1,0.02,0.0208,"Biological Processes",0.1
"17","LOC111128838","GO:0018108","peptidyl-tyrosine phosphorylation",11,1,0.02,0.0228,"Biological Processes",0.0909090909090909
"18","LOC111128838","GO:0030097","hemopoiesis",11,1,0.02,0.0228,"Biological Processes",0.0909090909090909
"19","LOC111129859","GO:0006419","alanyl-tRNA aminoacylation",2,1,0,0.0042,"Biological Processes",0.5
"20","LOC111129859","GO:0006419","alanyl-tRNA aminoacylation",2,1,0,0.0042,"Biological Processes",0.5
"21","LOC111130257","GO:0006936","muscle contraction",8,1,0.02,0.0167,"Biological Processes",0.125
"22","LOC111130521","GO:0006123","mitochondrial electron transport, cytochrome c to oxygen",7,1,0.01,0.0146,"Biological Processes",0.142857142857143
"23","LOC111130521","GO:0006123","mitochondrial electron transport, cytochrome c to oxygen",7,1,0.01,0.0146,"Biological Processes",0.142857142857143
"24","LOC111131404","GO:0000481","maturation of 5S rRNA",1,1,0,0.0021,"Biological Processes",1
"25","LOC111131404","GO:0045292","mRNA cis splicing, via spliceosome",16,1,0.03,0.033,"Biological Processes",0.0625
"26","LOC111132962","GO:0016239","positive regulation of macroautophagy",16,1,0.03,0.033,"Biological Processes",0.0625
"27","LOC111132962","GO:0032481","positive regulation of type I interferon production",13,1,0.03,0.0269,"Biological Processes",0.0769230769230769
"28","LOC111132962","GO:0032481","positive regulation of type I interferon production",13,1,0.03,0.0269,"Biological Processes",0.0769230769230769
"29","LOC111132962","GO:0061709","reticulophagy",19,1,0.04,0.0391,"Biological Processes",0.0526315789473684
"30","LOC111134794","GO:0036010","protein localization to endosome",6,1,0.01,0.0125,"Biological Processes",0.166666666666667
"31","LOC111135245","GO:0018149","peptide cross-linking",5,1,0.01,0.0104,"Biological Processes",0.2
"32","LOC111135245","GO:0018149","peptide cross-linking",5,1,0.01,0.0104,"Biological Processes",0.2
"33","LOC111136118","GO:0033962","cytoplasmic mRNA processing body assembly",8,1,0.02,0.0167,"Biological Processes",0.125
"34","LOC111136118","GO:0034063","stress granule assembly",5,1,0.01,0.0104,"Biological Processes",0.2
"35","LOC111099053","GO:0005850","eukaryotic translation initiation factor 2 complex",3,1,0.01,0.0064,"Cellular Components",0.333333333333333
"36","LOC111105812","GO:0030428","cell septum",23,1,0.05,0.048,"Cellular Components",0.0434782608695652
"37","LOC111107343","GO:0022627","cytosolic small ribosomal subunit",35,2,0.07,0.0025,"Cellular Components",0.0571428571428571
"38","LOC111125548","GO:0022627","cytosolic small ribosomal subunit",35,2,0.07,0.0025,"Cellular Components",0.0571428571428571
"39","LOC111128838","GO:0005856","cytoskeleton",705,6,1.5,0.0067,"Cellular Components",0.00851063829787234
"40","LOC111128913","GO:0005856","cytoskeleton",705,6,1.5,0.0067,"Cellular Components",0.00851063829787234
