"","gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes"
"1","LOC111099603","GO:0006623","protein targeting to vacuole",21,4,0.84,0.00884,"Biological Processes",0.19047619047619
"2","LOC111099657","GO:0006086","acetyl-CoA biosynthetic process from pyruvate",4,2,0.16,0.0091,"Biological Processes",0.5
"3","LOC111100355","GO:0002184","cytoplasmic translational termination",1,1,0.04,0.04003,"Biological Processes",1
"4","LOC111100413","GO:0000209","protein polyubiquitination",544,42,21.78,3.6e-05,"Biological Processes",0.0772058823529412
"5","LOC111100413","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,51,26.22,2.6e-07,"Biological Processes",0.0778625954198473
"6","LOC111100548","GO:0000209","protein polyubiquitination",544,42,21.78,3.6e-05,"Biological Processes",0.0772058823529412
"7","LOC111100548","GO:0017148","negative regulation of translation",250,24,10.01,6.8e-05,"Biological Processes",0.096
"8","LOC111100548","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,51,26.22,2.6e-07,"Biological Processes",0.0778625954198473
"9","LOC111100582","GO:0033169","histone H3-K9 demethylation",1,1,0.04,0.04003,"Biological Processes",1
"10","LOC111100671","GO:0000209","protein polyubiquitination",544,42,21.78,3.6e-05,"Biological Processes",0.0772058823529412
"11","LOC111100671","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,51,26.22,2.6e-07,"Biological Processes",0.0778625954198473
"12","LOC111100765","GO:0045104","intermediate filament cytoskeleton organization",4,2,0.16,0.0091,"Biological Processes",0.5
"13","LOC111100768","GO:1901006","ubiquinone-6 biosynthetic process",1,1,0.04,0.04003,"Biological Processes",1
"14","LOC111100924","GO:0000209","protein polyubiquitination",544,42,21.78,3.6e-05,"Biological Processes",0.0772058823529412
"15","LOC111100924","GO:0017148","negative regulation of translation",250,24,10.01,6.8e-05,"Biological Processes",0.096
"16","LOC111100924","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,51,26.22,2.6e-07,"Biological Processes",0.0778625954198473
"17","LOC111100946","GO:0000209","protein polyubiquitination",544,42,21.78,3.6e-05,"Biological Processes",0.0772058823529412
"18","LOC111100946","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,51,26.22,2.6e-07,"Biological Processes",0.0778625954198473
"19","LOC111100977","GO:0000209","protein polyubiquitination",544,42,21.78,3.6e-05,"Biological Processes",0.0772058823529412
"20","LOC111100977","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,51,26.22,2.6e-07,"Biological Processes",0.0778625954198473
